date;type;description;transferred
11/okt;zaterdag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
22/okt;woensdag;Naraka Chaturdasi;Restricted Holiday
23/okt;donderdag;Diwali/Deepavali;Gazetted Holiday
24/okt;vrijdag;Govardhan Puja;Restricted Holiday
25/okt;zaterdag;Bhai Duj;Restricted Holiday
29/okt;woensdag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
31/okt;vrijdag;Halloween;Observance
;;;
4/nov;dinsdag;Muharram/Ashura;Gazetted Holiday
6/nov;donderdag;Guru Nanak Jayanti;Gazetted Holiday
24/nov;maandag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
;;;
17/dec;woensdag;First Day of Hanukkah;Observance
22/dec;maandag;December Solstice;Season
24/dec;woensdag;Last day of Hanukkah;Observance
24/dec;woensdag;Christmas Eve;Restricted Holiday
25/dec;donderdag;Christmas;Gazetted Holiday
31/dec;woensdag;New Year's Eve;Observance
1/jan;donderdag;New Year's Day;Restricted Holiday
4/jan;zondag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
5/jan;maandag;Guru Govind Singh Jayanti;Restricted Holiday
14/jan;woensdag;Makar Sankranti;Restricted Holiday
15/jan;donderdag;Pongal;Restricted Holiday
22/jan;donderdag;Beti Bachao, Beti Padhao Campaign Launch Day;Observance
24/jan;zaterdag;Vasant Panchami;Restricted Holiday
26/jan;maandag;Republic Day;Gazetted Holiday
;;;
3/feb;dinsdag;Guru Ravidas Jayanti;Restricted Holiday
14/feb;zaterdag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
14/feb;zaterdag;Valentine's Day;Observance
17/feb;dinsdag;Maha Shivaratri/Shivaratri;Gazetted Holiday
19/feb;donderdag;Shivaji Jayanti;Restricted Holiday
19/feb;donderdag;Chinese New Year;Observance
;;;
5 mrt;donderdag;Holika Dahana;Restricted Holiday
6 mrt;vrijdag;Holi;Restricted Holiday
21 mrt;zaterdag;March Equinox;Season
21 mrt;zaterdag;Chaitra Sukhladi;Restricted Holiday
28 mrt;zaterdag;Rama Navami;Gazetted Holiday
;;;
2/apr;donderdag;Maundy Thursday;Observance, Christian
2/apr;donderdag;Mahavir Jayanti;Gazetted Holiday
