date,type,description,transferred
2014-jan-7,dinsdag,Guru Govind Singh Jayanti,Restricted Holiday
2014-jan-14,dinsdag,Pongal,Restricted Holiday
2014-jan-14,dinsdag,Makar Sankranti,Restricted Holiday
2014-jan-14,dinsdag,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2014-jan-26,zondag,Republic Day,Gazetted Holiday
2014-jan-31,vrijdag,Chinese New Year,Observance
2014-feb-4,dinsdag,Vasant Panchami,Restricted Holiday
2014-feb-14,vrijdag,Guru Ravidas Jayanti,Restricted Holiday
2014-feb-14,vrijdag,Valentine's Day,Observance
2014-feb-19,woensdag,Shivaji Jayanti,Restricted Holiday
2014-feb-24,maandag,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2014-feb-27,donderdag,Maha Shivaratri/Shivaratri,Gazetted Holiday
2014-mrt-16,zondag,Holika Dahana,Restricted Holiday
2014-mrt-17,maandag,Holi,Restricted Holiday
2014-mrt-20,donderdag,March Equinox,Season
2014-mrt-31,maandag,Chaitra Sukhladi,Restricted Holiday
2014-apr-8,dinsdag,Rama Navami,Gazetted Holiday
2014-apr-13,zondag,Mahavir Jayanti,Gazetted Holiday
2014-apr-14,maandag,Vaisakhi,Restricted Holiday
2014-apr-14,maandag,Ambedkar Jayanti,Observance
2014-apr-15,dinsdag,First day of Passover,Observance
2014-apr-15,dinsdag,Mesadi/Vaisakhadi,Restricted Holiday
2014-apr-17,donderdag,Maundy Thursday,"Observance, Christian"
2014-apr-18,vrijdag,Good Friday,Gazetted Holiday
2014-apr-20,zondag,Easter Day,Restricted Holiday
2014-mei-1,donderdag,May Day,Observance
2014-mei-9,vrijdag,Birthday of Ravindranath,Restricted Holiday
2014-mei-11,zondag,Mother's Day,Observance
2014-mei-13,dinsdag,Hazarat Ali's Birthday,Restricted Holiday
2014-mei-14,woensdag,Buddha Purnima/Vesak,Gazetted Holiday
2014-jun-15,zondag,Father's Day,Observance
2014-jun-21,zaterdag,June Solstice,Season
2014-jun-29,zondag,Rath Yatra,Restricted Holiday
2014-jul-25,vrijdag,Jamat Ul-Vida,Restricted Holiday
2014-jul-29,dinsdag,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2014-aug-3,zondag,Friendship Day,Observance
2014-aug-10,zondag,Raksha Bandhan (Rakhi),Restricted Holiday
2014-aug-15,vrijdag,Independence Day,Gazetted Holiday
2014-aug-17,zondag,Janmashtami,Gazetted Holiday
2014-aug-18,maandag,Parsi New Year,Restricted Holiday
2014-aug-29,vrijdag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2014-sep-7,zondag,Onam,Restricted Holiday
2014-sep-23,dinsdag,September Equinox,Season
2014-okt-1,woensdag,Maha Saptami,Restricted Holiday
2014-okt-2,donderdag,Mahatma Gandhi Jayanti,Gazetted Holiday
2014-okt-2,donderdag,Maha Ashtami,Restricted Holiday
2014-okt-3,vrijdag,Dussehra,Gazetted Holiday
2014-okt-6,maandag,Bakr Id/Eid ul-Adha,Gazetted Holiday
2014-okt-11,zaterdag,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2014-okt-22,woensdag,Naraka Chaturdasi,Restricted Holiday
2014-okt-23,donderdag,Diwali/Deepavali,Gazetted Holiday
2014-okt-24,vrijdag,Govardhan Puja,Restricted Holiday
2014-okt-25,zaterdag,Bhai Duj,Restricted Holiday
2014-okt-29,woensdag,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2014-okt-31,vrijdag,Halloween,Observance
2014-nov-4,dinsdag,Muharram/Ashura,Gazetted Holiday
2014-nov-6,donderdag,Guru Nanak Jayanti,Gazetted Holiday
2014-nov-24,maandag,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2014-dec-17,woensdag,First Day of Hanukkah,Observance
2014-dec-22,maandag,December Solstice,Season
2014-dec-24,woensdag,Last day of Hanukkah,Observance
2014-dec-24,woensdag,Christmas Eve,Restricted Holiday
2014-dec-25,donderdag,Christmas,Gazetted Holiday
2014-dec-31,woensdag,New Year's Eve,Observance
2015-jan-1,donderdag,New Year's Day,Restricted Holiday
2015-jan-4,zondag,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2015-jan-5,maandag,Guru Govind Singh Jayanti,Restricted Holiday
2015-jan-14,woensdag,Makar Sankranti,Restricted Holiday
2015-jan-15,donderdag,Pongal,Restricted Holiday
2015-jan-22,donderdag,"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
2015-jan-24,zaterdag,Vasant Panchami,Restricted Holiday
2015-jan-26,maandag,Republic Day,Gazetted Holiday
2015-feb-3,dinsdag,Guru Ravidas Jayanti,Restricted Holiday
2015-feb-14,zaterdag,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2015-feb-14,zaterdag,Valentine's Day,Observance
2015-feb-17,dinsdag,Maha Shivaratri/Shivaratri,Gazetted Holiday
2015-feb-19,donderdag,Shivaji Jayanti,Restricted Holiday
2015-feb-19,donderdag,Chinese New Year,Observance
2015-mrt-5,donderdag,Holika Dahana,Restricted Holiday
2015-mrt-6,vrijdag,Holi,Restricted Holiday
2015-mrt-21,zaterdag,March Equinox,Season
2015-mrt-21,zaterdag,Chaitra Sukhladi,Restricted Holiday
2015-mrt-28,zaterdag,Rama Navami,Gazetted Holiday
2015-apr-2,donderdag,Maundy Thursday,"Observance, Christian"
2015-apr-2,donderdag,Mahavir Jayanti,Gazetted Holiday
2015-apr-3,vrijdag,Good Friday,Gazetted Holiday
2015-apr-4,zaterdag,First day of Passover,Observance
2015-apr-5,zondag,Easter Day,Restricted Holiday
2015-apr-14,dinsdag,Vaisakhi,Restricted Holiday
2015-apr-14,dinsdag,Ambedkar Jayanti,Observance
2015-apr-15,woensdag,Mesadi/Vaisakhadi,Restricted Holiday
2015-mei-1,vrijdag,May Day,Observance
2015-mei-3,zondag,Hazarat Ali's Birthday,Restricted Holiday
2015-mei-4,maandag,Buddha Purnima/Vesak,Gazetted Holiday
2015-mei-9,zaterdag,Birthday of Ravindranath,Restricted Holiday
2015-mei-10,zondag,Mother's Day,Observance
2015-jun-21,zondag,Father's Day,Observance
2015-jun-21,zondag,June Solstice,Season
2015-jul-17,vrijdag,Jamat Ul-Vida,Restricted Holiday
2015-jul-18,zaterdag,Rath Yatra,Restricted Holiday
2015-jul-19,zondag,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2015-aug-2,zondag,Friendship Day,Observance
2015-aug-15,zaterdag,Independence Day,Gazetted Holiday
2015-aug-18,dinsdag,Parsi New Year,Restricted Holiday
2015-aug-28,vrijdag,Onam,Restricted Holiday
2015-aug-29,zaterdag,Raksha Bandhan (Rakhi),Restricted Holiday
2015-sep-5,zaterdag,Janmashtami,Gazetted Holiday
2015-sep-17,donderdag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2015-sep-23,woensdag,September Equinox,Season
2015-sep-25,vrijdag,Bakr Id/Eid ul-Adha,Gazetted Holiday
2015-okt-2,vrijdag,Mahatma Gandhi Jayanti,Gazetted Holiday
2015-okt-20,dinsdag,Maha Saptami,Restricted Holiday
2015-okt-21,woensdag,Maha Ashtami,Restricted Holiday
2015-okt-22,donderdag,Dussehra,Gazetted Holiday
2015-okt-24,zaterdag,Muharram/Ashura,Gazetted Holiday
2015-okt-27,dinsdag,Maharishi Valmiki Jayanti,Restricted Holiday
2015-okt-30,vrijdag,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2015-okt-31,zaterdag,Halloween,Observance
2015-nov-10,dinsdag,Naraka Chaturdasi,Restricted Holiday
2015-nov-11,woensdag,Diwali/Deepavali,Gazetted Holiday
2015-nov-12,donderdag,Govardhan Puja,Restricted Holiday
2015-nov-13,vrijdag,Bhai Duj,Restricted Holiday
2015-nov-17,dinsdag,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2015-nov-24,dinsdag,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2015-nov-25,woensdag,Guru Nanak Jayanti,Gazetted Holiday
2015-dec-7,maandag,First Day of Hanukkah,Observance
2015-dec-14,maandag,Last day of Hanukkah,Observance
2015-dec-22,dinsdag,December Solstice,Season
2015-dec-24,donderdag,Christmas Eve,Restricted Holiday
2015-dec-25,vrijdag,Christmas,Gazetted Holiday
2015-dec-31,donderdag,New Year's Eve,Observance
2016-jan-1,vrijdag,New Year's Day,Restricted Holiday
2016-jan-14,donderdag,Makar Sankranti,Restricted Holiday
2016-jan-15,vrijdag,Pongal,Restricted Holiday
2016-jan-16,zaterdag,Guru Govind Singh Jayanti,Restricted Holiday
2016-jan-26,dinsdag,Republic Day,Gazetted Holiday
2016-feb-8,maandag,Chinese New Year,Observance
2016-feb-12,vrijdag,Vasant Panchami,Restricted Holiday
2016-feb-14,zondag,Valentine's Day,Observance
2016-feb-19,vrijdag,Shivaji Jayanti,Restricted Holiday
2016-feb-22,maandag,Guru Ravidas Jayanti,Restricted Holiday
2016-mrt-4,vrijdag,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2016-mrt-7,maandag,Maha Shivaratri/Shivaratri,Gazetted Holiday
2016-mrt-20,zondag,March Equinox,Season
2016-mrt-23,woensdag,Holika Dahana,Restricted Holiday
2016-mrt-24,donderdag,Maundy Thursday,"Observance, Christian"
2016-mrt-24,donderdag,Holi,Restricted Holiday
2016-mrt-25,vrijdag,Good Friday,Gazetted Holiday
2016-mrt-27,zondag,Easter Day,Restricted Holiday
2016-apr-8,vrijdag,Chaitra Sukhladi,Restricted Holiday
2016-apr-13,woensdag,Vaisakhi,Restricted Holiday
2016-apr-14,donderdag,Mesadi/Vaisakhadi,Restricted Holiday
2016-apr-14,donderdag,Ambedkar Jayanti,Observance
2016-apr-15,vrijdag,Rama Navami,Gazetted Holiday
2016-apr-20,woensdag,Mahavir Jayanti,Gazetted Holiday
2016-apr-21,donderdag,Hazarat Ali's Birthday,Restricted Holiday
2016-apr-23,zaterdag,First day of Passover,Observance
2016-mei-1,zondag,May Day,Observance
2016-mei-8,zondag,Mother's Day,Observance
2016-mei-8,zondag,Birthday of Ravindranath,Restricted Holiday
2016-mei-21,zaterdag,Buddha Purnima/Vesak,Gazetted Holiday
2016-jun-19,zondag,Father's Day,Observance
2016-jun-21,dinsdag,June Solstice,Season
2016-jul-1,vrijdag,Jamat Ul-Vida,Restricted Holiday
